,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,church,persian,julian,theodosius,rome,danube,mahomet,andronicus,justinian,france,diocletian,senate,rome,clovis,sultan,pertinax,vandals,alemanni,goths,jurisprudence,saxons,marriage,germans,emperor,harbour,euxine,senate,naples,zenobia,thousand,valens
1,christians,chosroes,emperor,emperor,city,barbarians,prophet,emperor,belisarius,holy,galerius,augustus,gold,franks,timour,severus,carthage,barbarians,theodoric,justinian,britain,law,germany,alexander,thousand,sea,gordians,italy,aurelian,saracens,valerian
2,bishops,sapor,constantius,palace,roman,huns,god,manuel,emperor,king,maxentius,government,thousand,gaul,turkish,macrinus,africa,danube,gothic,laws,britons,roman,tribes,commodus,constantinople,bosphorus,maximus,venice,palmyra,caliph,gallienus
3,faith,persians,army,son,temple,goths,mecca,constantinople,justin,jerusalem,maximian,consuls,pounds,germany,thousand,death,belisarius,army,barbarians,law,british,children,german,son,sea,goths,emperors,kingdom,odenathus,arabs,war
4,christian,thousand,gods,public,empire,attila,medina,palaeologus,thousand,french,constantine,roman,public,king,bagdad,caracalla,genseric,arms,war,tribonian,island,father,use,elagabalus,greeks,miles,balbinus,amalphi,queen,moors,fritigern
5,religion,king,soldiers,daughter,people,tribes,apostle,greeks,people,thousand,licinius,authority,money,charlemagne,persia,emperor,moors,troops,soon,civilians,wales,jurisprudence,ancient,caesar,galleys,trebizond,rome,republic,emesa,cities,army
6,rome,persia,prince,constantinople,marble,river,ali,john,goths,knights,italy,rome,value,monarchy,caliph,niger,gelimer,romans,king,roman,saxon,citizen,human,mamaea,fleet,phasis,maximin,salerno,egypt,hassan,piso
7,people,romans,troops,empire,monuments,arms,koreish,cantacuzene,roman,louis,war,republic,empire,rhine,mogul,army,romans,italy,visigoths,books,armorica,laws,life,life,naval,asia,guards,frederic,east,gold,legions
8,zeal,roman,religion,husband,capital,country,abu,prince,palace,second,power,provinces,tribute,burgundians,years,soldiers,roman,gaul,vandals,pandects,pirates,inheritance,arms,tyrant,turkish,channel,election,exarchate,emperor,africa,barbarians
9,world,armenia,mind,age,long,banks,koran,son,italy,courtenay,rome,magistrate,capitation,french,asia,praetorians,vandal,emperor,suevi,civil,roman,wife,women,prince,ships,course,gordian,emperor,maeonius,akbah,emperor
10,christ,emperor,soon,reign,public,roman,caliph,empire,theodora,count,roman,people,millions,merovingian,emirs,guards,coast,rhine,nation,private,gaul,nuptials,north,court,attack,hellespont,maximus balbinus,greek,palmyrenians,bosra,armies
11,roman,arms,public,east,constantinople,empire,omar,genoese,totila,crusade,empire,public,citizens,roman,son,reign,thousand,battle,arms,republic,arms,civilians,food,alexius,asia,fleet,senators,years,longinus,tripoli,character
12,emperor,tigris,caesar,valentinian,ancient,war,religion,turks,gothic,barons,emperors,magistrates,roman,empire,ottoman,fate,african,valentinian,roman,tables,conquest,paternal,arts,nero,sultan,coast,thanks,city,sex,damascus,soon
13,clergy,army,war,empress,years,provinces,thousand,byzantine,years,land,princes,civil,use,title,bajazet,praetorian,barbarians,general,enemy,people,scots,legal,nations,young,turks,celebrated,ratify,bari,roman,greeks,conduct
14,years,euphrates,christians,death,time,nations,abubeker,greek,general,princes,senate,prefects,silver,aquitain,egypt,valeria,sardinia,victory,thousand,edict,caledonians,age,people,character,anatolia,country,return,capua,troops,arabian,east
15,ecclesiastical,heraclius,antioch,wife,constantine,gothic,faithful,michael,constantinople,godfrey,people,jurisdiction,city,romans,moguls,son,arms,limigantes,emperor,use,caledonia,daughter,civilised,cruelty,bosphorus,waters,princes,state,far,arms,rebellion
16,constantine,great,romans,years,age,germany,arabs,years,narses,robert,emperor,dignity,wealth,princes,aleppo,albinus,fleet,germans,troops,ancient,country,property,general,throne,alexius,straits,acclamations,venetians,asia,country,arms
17,public,city,tigris,father,feet,hungarians,arabian,throne,prince,baldwin,imperial,administration,people,laws,turks,senate,king,war,army,legal,north,divorce,property,rank,empire,mouth,return thanks,rome,soon,christians,troops
18,religious,country,march,people,colonna,scythia,faith,public,reign,latin,death,ancient,tax,italy,malek,empire,country,alps,siege,years,hengist,nature,barbarians,youth,greek,barbarians,imperial,ravenna,war,tribute,prince
19,worship,war,important,imperial,antiquity,north,moslems,younger,death,son,long,peace,taxes,arms,damascus,praetorian guards,troops,enemy,romans,wisdom,war,son,cattle,blood,miles,ancient,public,islands,approach,abderame,general
