,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
0,christians,persian,senate,julian,emperor,constantine,rome,goths,athanasius,pope,timour,constantinople,gold,france,mahomet,vandals,galerius,plato,germans,justinian,placidia,thousand,clovis,manuel,huns,laws,sicily,goths,britain,alemanni,belisarius,theodosius,jews,legions,marriage,constantius,zenobia,bishops,rome
1,church,chosroes,rome,constantius,gallienus,michael,city,danube,bishops,rome,sultan,greeks,rome,holy,prophet,carthage,maximian,science,german,justin,theodosius,caliph,franks,palaeologus,attila,jurisprudence,normans,alaric,saxons,barbarians,justinian,valentinian,mosaic,military,children,constantine,palmyra,faith,empire
2,christian,persians,pertinax,emperor,claudius,reign,empire,barbarians,alexandria,greeks,thousand,genoese,thousand,jerusalem,mecca,africa,maxentius,philosophy,germany,emperor,husband,musa,gaul,emperor,empire,law,apulia,gothic,britons,danube,italy,rufinus,law,legion,father,magnentius,odenathus,council,provinces
3,religion,sapor,augustus,gods,death,son,monuments,gothic,synod,church,bajazet,mahomet,pounds,thousand,god,genseric,constantine,greek,barbarians,belisarius,wife,arabs,king,john,orestes,justice,robert,italy,british,rhine,gothic,emperor,jewish,discipline,law,constans,aurelian,arian,roman
4,worship,persia,people,caesar,valens,emperor,roman,arms,church,gregory,ad,sultan,public,crusade,medina,belisarius,diocletian,language,tribes,theodora,eudoxia,saracens,germany,constantinople,china,citizen,norman,stilicho,island,quadi,goths,east,moses,roman,roman,emperor,palmyrenians,doctrine,manners
5,christianity,armenia,republic,soldiers,senate,ad,temple,roman,cyril,popes,turkish,siege,value,french,apostle,gelimer,italy,schools,rhine,years,empress,egypt,charlemagne,andronicus,king huns,roman,guiscard,rome,wales,valentinian,general,gratian,religion,strength,inheritance,gallus,queen,orthodox,europe
6,world,tigris,praetorian,army,valerian,years,marble,hungarians,patriarch,latins,caliphs,turkish,use,courtenay,koreish,african,licinius,latin,tacitus,reign,daughter,jerusalem,france,greeks,king,private,naples,totila,saxon,army,ravenna,son,christ,arms,jurisprudence,augustus,emesa,trinity,freedom
7,religious,king,tacitus,war,army,palace,constantinople,empire,egypt,ad,bagdad,greek,tribute,king,koran,moors,constantius,philosophers,ancient,death,antonina,moslems,merovingian,son,theodosius,civil,salerno,city,armorica,italy,narses,father,church,valour,citizen,prefect,egypt,disputes,states
8,constantine,romans,roman,prince,maurice,leo,time,war,primate,st,caliph,harbour,capitation,baldwin,ali,romans,maximin,learning,country,palace,pulcheria,spain,rhine,cantacuzene,war,rome,roger,king,pirates,arms,war,age,faith,soldiers,divorce,death,east,church,union
9,faith,euphrates,military,mind,general,life,capital,king,episcopal,constantinople,abbassides,empire,silver,count,religion,fleet,africa,knowledge,use,ad,emperor,damascus,monarchy,prince,chinese,republic,italy,barbarians,caledonians,victory,antonina,public,god,infantry,wife,imperial,maeonius,homoousion,nations
10,zeal,roman,authority,troops,carinus,father,edifices,nation,faith,emperor,mogul,sea,city,louis,abu,roman,war,athens,nations,constantinople,constantinople,christians,auvergne,ad,ambassadors,crimes,greeks,enemy,angles,limigantes,roman,character,jerusalem,troops,paternal,palace,palmyrenian,catholics,mankind
11,roman,thousand,emperor,religion,merit,sons,people,scythia,orthodox,union,persia,galleys,millions,barons,thousand,vandal,death,logos,human,tyrant,valentinian,tarik,king franks,empire,scythia,praetor,calabria,roman,scots,gaul,troops,merit,synagogue,auxiliaries,nuptials,sons,odenathus zenobia,synod,senate
12,superstition,army,public,public,probus,age,feet,provinces,ad,greek,emirs,turks,wealth,knights,arabian,thousand,italy africa,disciples,arms,people,palace,conquest,kingdom,turkish,edecon,judges,bari,gothic king,roman,germans,thousand,people,divine,cavalry,laws,britain,longinus,creeds,emulation
13,rome,emperor,guards,soon,aurelian,andronicus,world,country,nestorius,schism,son,city,empire,second,abubeker,coast,rome,study,people,africa,honorius,commander,princes,john palaeologus,barbarians,tribune,duke,retreat,arms,radagaisus,emperor,justina,christians,war,daughter,gaul,sex,principles,power
14,reason,arms,civil,gaul,roman,empire,ruins,tribes,catholics,st peter,mahomet,walls,citizens,england,caaba,emperor,ad,aristotle,arts,life,age,god,barbarians,years,barbarian,guilt,ad,siege,conquest,romans,romans,empire,zeal,service,son,fate,syria,controversy,romans
15,life,great,emperors,important,war,death,years,fritigern,catholic,peter,years,thousand,revenue,land,arabia,ad,empire,homer,gaul,roman,death,moors,french,thousand,scythian,magistrate,greek,romans,country,enemy,totila,maximus,nazarenes,chief,age,troops,emperor,theological,independence
16,nature,war,consuls,barbarians,character,purple,edifice,valens,archbishop,vatican,damascus,emperor,money,godfrey,faith,sardinia,provinces,school,property,prince,eudocia,abdallah,empire,turks,alani,citizens,palermo,ravenna,picts,roman,rome,royal,people,men,fathers,prince,soon,majority,people
17,public,heraclius,power,general,throne,irene,arches,romans,council,roman,anatolia,war,luxury,saladin,faithful,troops,emperor,divine,savages,justinian ad,son,city,burgundy,latins,soon,romans,second,barbarian,war,troops,army,prefect,mosaic law,companions,family,public,sapor,council nice,patricians
18,laws,country,government,imperial,legions,romanus,age,soon,years,cardinals,ottoman,cannon,annual,ad,omar,country,soon,human,great,empire,aetius,days,salic,vataces,country,people,william,army,caledonia,emperor,fleet,brother,abraham,barbarians,testament,victory,tetricus,nice,ancient
19,primitive,camp,dignity,friends,troops,crispus,colonna,germany,zeal,france,reign,ad,tax,peter,moses,majorian,roman,curiosity,numerous,subjects,gainas,mahomet,syagrius,scanderbeg,tribes,civilians,capua,famine,gaul,cavalry,people,virtues,messiah,weapons,life,son,arms,religious,extent
