,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,,,africa,,,,,,emesa,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,basiliscus,,,heraclius
2,,,ionia,,,,,,,,,,,,bagdad,,baetica,,,,,,,,
3,,,,,,,,,athens,,alboin,,,frederic,,,,,,,,,,colonna,
4,,st,,,,,,,,,,europe,,roger,st,,constantine,,,,,maximus,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,st,,,,,,,,,theodoric,,
7,,,,,,,,,,,,,carausius,,,,,,,,,,,,
8,,,savage,,,julian,,,,constantinople,,,,,,,,,,,,,,,
9,,,europe,,,,,,,savage,,,,,,rome,,,,,,,,,
10,,,,,,,,,,,,,,theodore,aleppo,,,,,,,,,,
11,,,,,mosch,,,,,,,,,,,,,,,,scythia,,procopius,,
12,,,,,,,,,,,,,,vatican,,,,,,,,italy,,,
13,st,,,,,,,,,,,,,robert,,jacobite,,,,,,,,,
14,,,,,mahometan,palestine,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,broad,,,apulia,,,,,,,,,,,
16,,,rome,,,,,,,,,boniface,,caesar,,chrysaphius,,,,,,,,vatican,
17,,,,,caaba,,,,,,cyrus,,,,,tome,,,,,,,,,
18,,,,march,,,,,,,,,,,,coptic,,,,,,,belisarius,,
19,,,,,,,,,,,,,,,,,,,,,,,africa,,
20,pope,,,,,god,,,,africa,,,,,,god,,,,,,,,,
21,,,,,,,,,,,,,,,damascus,aethiopia,,,,,,,,,
22,,,,,timour,,,,,,,,,,,,,,,,,,,,
23,,,,,,,trajan,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,stilicho,,,,,,,,march,,,,,sophia
25,,,,,,,,,,march,,,,italy,cantacuzene,,,justinian,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,verina,,,alexandria
27,,,,,,,,,,,,,,,,,,cunimund,,,,,,,
28,,,,,,anatolia,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,augustus,,,,,,,gallic,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,france,,theophilus,,,,,,,,,
32,,,,,,,,,justinian,,,,,,vizir,,,,antioch,,,,,,
33,,,,,,,,,,,,,,,,macedonius,,,,euxine,savage,,,,mahomet
34,,,,,,,,,,,,,,,baldwin,,,,,,,,,,syria
35,,,,,,rhine,,,,,,,gallienus,,,,,rosamond,,,,,,,
36,,,,,,,,,,rome,,,,,,,,,,,,,,,
37,greece,,,,,rome,,,theodosius,,,,,,egypt,,,,,,,brandenburg,,,amurath
38,,,coliseum,theodosius,persia,,,,,,,,constantine,courtenay,,,,,,,,,,,
39,,,,,,caesar,,st,,,,,,,,,,,,,,odin,,,
40,,gregory,,,,,,,,,,,,,pope,,,,,,,,,justinian,
41,,arian,,,,,,,,,,,,,,,,,,sicily,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,theodora,,nile
43,,,,,,,,,,,,,,,syria,,,,,,alemanni,,,,
44,,,,,abdallah,,,,,,,,,,soliman,,,,,,,,,,
45,duke,,,,,,,,,,,,,,,,,,,,,germany,,,
46,,,,,,,,,,,,,,,anatolia,armenia,aper,,,,,syracuse,,,
47,,,,,,,,,,italy,,,tetricus,peter,,anastasius,,,,,aetius,,,,
48,,,maurice,constantinople,,,,,,,,,,,,,,,,,,,,,jerusalem
49,,,cilicia,,,,,,,,,,,,godfrey,,,claudius,,,,,,,
50,,,,,,,,,,,,,,,antioch,,,,valeria,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,egypt,,,musulman,,,,,,,,,,france,,,,,,,,,,
53,,alexandria,,,,,,,,china,,,,,,chrysostom,,,,,,,,,
54,,,asia,,,,,,,,iberian,,,,saladin,marcian,,,,,,caesar,,,
55,,,,,,,,,,,,constantinople,,,,commodus,,,,,,,gelimer,,
56,,,,constantius,,constantinople,,,,,,,armorica,,,,,,,,,,,,
57,,,,constantine,,,,,,,,,,,,,,,richard,,,,,capitol,
58,,,,,,,,,,persia,,,,,,,,,,,,,,,
59,,,,,,,,,,germany,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,god,,,,,,
61,,,,,,egypt,hadrian,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,honorius,,,,,,,,,,,,god
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,syria,,,,,,,,italy,,,,,,,,,,,,justinian
65,,,,,,,,,,,,,,sicily,,,,senator,,,,sebastocrator,,,
66,,,,,,,,,,,,,,,john,antioch,,,,,,gallienus,,,
67,,,,julian,,,,,,,,,,,,,,,,,,ariadne,,,
68,,,,,koreish,claudius,,,,,,,,,,,,,,,,,,,
69,,rome,,,omar,,,,,,euxine,,,pope,palestine,,,,,,,,,,
70,,,,italy,,emesa,,,,,,,,,,,,,,,,,,,
71,,,,rome,,,,,,,,,,,,,,,,,,,,peter,
72,,,,,,,,,,,,,,,,,augustus,,,,,,,,
73,,,,,,,,,,,,,,,,pertinax,,,,justinian,germany,,,,
74,,,,,,,,,,,,,,,,theodosius,,,,,,,rome,,
75,,,,,,,,,,,,,,isaac,,,,athens,,,,pope,zoe,,
76,,,,,arabia,,,,,,,,rome,,,,,,,,rhine,,,,
77,,,constantinople,,,,augustus,,,,,,,alexius,,,,,peter,,,rome,constantinople,,
78,,,theodosius,,,,,,,,,,saxon,,mahomet,,,,lance,,,,gainas,pope,
79,charlemagne,,,,,syria,,,constantine,,nile,,,john,,dioscorus,,rome,europe,,,,genseric,,
80,,,,,abu,,,,,,,,,constantine,,claudius,,,,,spain,odenathus,,,
81,,athanasius,,,,,,,,europe,,,,,,,,,pope,,,,,,
82,germany,,,,damascus,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,caliph
84,,,,,ali,,,,,,,,,,,,,,,,,,,,
85,france,,,,,zenobia,,,,,,,africa,,,,,,,belisarius,,,italy,,
86,,,,,,mousa,,,,,,,,palaeologus,,,probus,,,,,,constantine,,
87,rome,constantine,justinian,,koran,,,,,,,,,,,,numerian,,,,,,,,
88,europe,,,,,,,,,asia,,,,manuel,europe,,niger,,,,,,,,
89,constantinople,,,,,,,,,,,,spain,michael,,,,,,,italy,,,,
90,,,,,,,,,julian,,rosamond,constantine,,,,ephesus,,,philip,,,,,st,st
91,,,,,medina,antioch,,,,,,rome,,,,egypt,aurelian,,,,clovis,augustus,carthage,italy,
92,,,,,,boursa,,,,,,,,,constantinople,constantinople,carus,gepidae,,,theodoric,constantine,,,
93,italy,,,,,,,,,,,,,,,,,,,constantinople,,,,,egypt
94,,,,,caliph,,,,,,caspian,,,constantinople,asia,alexandria,,,,,,,,,
95,,,,,,aurelian,,,,,shiracouh,,,,,chalcedon,carinus,,,,,rienzi,,,constantinople
96,,,,,mecca,,rome,,,,phasis,,,,jerusalem,nestorius,,,,,attila,tribune,,,
97,,,,,god,timour,,god,,,,,gaul,andronicus,,cyril,,,,,,,,,
98,,,,,,probus,,,,,alexandria,,,,,,,alboin,st,,gaul,,,,
99,,,,,mahomet,bajazet,,,,,egypt,,britain,,sultan,,rome,,,,,,,rome,
